dose,alu_tier,strong_overlap,strong_total,weak_overlap,weak_total,odds_ratio,raw_p,fdr,significant
100pM,young,7,869,3,869,2.34,0.342,0.7695,FALSE
100pM,middle,38,869,20,869,1.94,0.022,0.0990,FALSE
100pM,old,14,869,23,869,0.60,0.183,0.5490,FALSE
1nM,young,13,1922,13,1922,1.00,1.000,1.0000,FALSE
1nM,middle,93,1922,89,1922,1.05,0.820,0.9225,FALSE
1nM,old,36,1922,42,1922,0.85,0.568,0.8520,FALSE
10nM,young,27,4377,30,4377,0.90,0.791,0.9225,FALSE
10nM,middle,283,4377,211,4377,1.36,0.001,0.0090,TRUE
10nM,old,102,4377,114,4377,0.89,0.449,0.8082,FALSE
